GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food_reasons_coded,cook,comfort_food_reasons_coded.1,cuisine,diet_current_coded,drink,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,fav_cuisine,fav_cuisine_coded,fav_food,fries,fruit_day,grade_level,greek_food,healthy_feeling,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,mother_education,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,veggies_day,vitamins,waffle_calories,weight
2.4,2,1,430,nan,315.0,1,9.0,2.0,9,nan,1,1.0,1,1,3,3.0,1,1.0,5.0,Arabic cuisine,3,1.0,2,5,2,5,2,8,5,5,5,1,1.0,1.0,5,1.0,1,2,5.0,3.0,1.0,1.0,1,1165.0,345,5,1,1315,187
3.654,1,1,610,3.0,420.0,2,1.0,3.0,1,1.0,2,2.0,1,2,2,2.0,4,1.0,2.0,Italian,1,1.0,1,4,4,4,5,3,4,4,4,1,2.0,4.0,4,1.0,1,4,4.0,3.0,1.0,1.0,2,725.0,690,4,2,900,155
3.3,1,1,720,4.0,420.0,2,1.0,1.0,1,3.0,3,1.0,1,3,2,3.0,5,2.0,2.0,italian,1,3.0,1,5,3,5,6,6,6,5,5,7,2.0,2.0,4,2.0,1,3,5.0,6.0,1.0,2.0,5,1165.0,500,5,1,900,I'm not answering this. 
3.2,1,1,430,3.0,420.0,2,2.0,2.0,2,2.0,2,2.0,1,3,2,3.0,5,3.0,2.0,Turkish ,3,1.0,2,4,4,5,7,2,6,5,5,2,2.0,4.0,2,1.0,1,2,5.0,5.0,1.0,2.0,5,725.0,690,3,1,1315,"Not sure, 240"
3.5,1,1,720,2.0,420.0,2,1.0,1.0,1,2.0,2,2.0,3,4,2,2.0,4,1.0,4.0,Italian ,1,3.0,1,4,4,4,6,2,6,2,5,1,1.0,5.0,3,1.0,1,4,2.0,4.0,1.0,1.0,4,940.0,500,4,2,760,190
2.25,1,1,610,3.0,980.0,2,4.0,3.0,4,nan,2,2.0,1,3,1,3.0,4,2.0,1.0,African,6,3.0,1,2,2,2,4,2,1,5,5,4,2.0,1.0,1,1.0,2,5,5.0,5.0,1.0,2.0,4,940.0,345,1,2,1315,190
3.8,2,1,610,3.0,420.0,2,1.0,2.0,1,1.0,3,1.0,2,5,2,3.0,5,1.0,4.0,Thai,4,1.0,1,4,4,5,4,2,4,5,5,8,1.0,4.0,4,2.0,2,2,5.0,4.0,1.0,1.0,5,940.0,690,4,1,1315,180
3.3,1,1,720,3.0,420.0,1,1.0,3.0,1,1.0,1,2.0,2,5,2,2.0,2,2.0,3.0,Anything american style.,5,1.0,1,5,2,3,3,2,5,1,3,3,1.0,2.0,4,1.0,1,5,1.0,3.0,1.0,2.0,1,725.0,500,4,2,1315,137
3.3,1,1,430,nan,420.0,1,2.0,3.0,2,1.0,1,1.0,2,8,5,2.0,5,nan,5.0,Seafood,1,3.0,1,4,1,5,7,6,5,5,5,8,2.0,5.0,2,1.0,2,3,5.0,4.0,2.0,2.0,5,725.0,345,3,2,760,180
3.3,1,1,430,3.0,315.0,2,1.0,3.0,1,1.0,1,1.0,1,3,3,3.0,5,1.0,5.0,Italian ,1,1.0,1,5,1,5,3,2,4,4,5,3,2.0,5.0,5,1.0,3,3,4.0,3.0,1.0,1.0,4,580.0,345,5,1,900,125
3.5,1,1,610,3.0,980.0,2,2.0,1.0,2,1.0,1,2.0,3,4,2,1.0,5,1.0,2.0,Orange chicken and chow mani noodles ,4,1.0,1,5,3,1,9,7,3,1,5,8,1.0,4.0,2,3.0,1,2,2.0,1.0,1.0,1.0,2,940.0,345,5,2,900,116
3.904,1,1,720,4.0,420.0,2,3.0,3.0,3,1.0,1,1.0,4,5,1,2.0,5,1.0,3.0,Italian,1,1.0,1,5,2,5,1,2,5,5,5,1,2.0,4.0,5,1.0,1,3,5.0,2.0,1.0,1.0,5,940.0,500,5,1,900,110
3.4,2,1,430,3.0,420.0,2,3.0,5.0,3,1.0,1,2.0,2,5,1,3.0,4,3.0,3.0,Chinese ,4,3.0,1,4,1,3,9,1,5,3,4,9,2.0,4.0,2,1.0,2,2,3.0,5.0,2.0,1.0,3,940.0,500,3,2,575,264
3.6,1,1,610,3.0,420.0,2,1.0,2.0,1,1.0,2,2.0,1,3,4,2.0,5,2.0,2.0,italian,1,1.0,1,5,3,4,8,2,5,3,5,10,2.0,4.0,2,2.0,2,3,3.0,3.0,1.0,1.0,5,1165.0,850,5,2,1315,123
3.1,2,1,610,3.0,420.0,2,2.0,3.0,2,1.0,1,2.0,3,4,2,3.0,4,2.0,4.0,Chinese ,4,3.0,1,5,3,4,2,1,5,2,3,1,1.0,4.0,2,2.0,2,3,1.0,3.0,1.0,1.0,4,940.0,500,5,1,900,185
4.0,1,1,265,3.0,420.0,1,1.0,3.0,1,nan,1,1.0,2,5,1,2.0,2,2.0,1.0,Jamaican ,7,1.0,1,5,1,2,7,2,1,5,3,9,2.0,2.0,4,1.0,2,2,2.0,3.0,1.0,2.0,1,580.0,345,5,1,760,145
3.6,2,1,430,3.0,980.0,2,2.0,3.0,2,1.0,3,2.0,1,2,2,3.0,4,1.0,2.0,American or Italian ,5,3.0,1,3,1,3,8,1,6,3,5,7,2.0,2.0,4,1.0,1,6,2.0,2.0,1.0,1.0,3,940.0,500,4,2,900,170
3.4,1,1,720,3.0,980.0,1,3.0,3.0,3,1.0,1,1.0,4,6,3,2.0,1,3.0,5.0,Chicken ,5,3.0,1,5,2,3,6,2,5,1,5,9,2.0,3.0,2,1.0,1,2,1.0,3.0,2.0,2.0,1,1165.0,690,5,1,1315,135
2.2,2,1,430,2.0,420.0,2,2.0,4.0,2,1.0,2,2.0,3,4,2,3.0,3,2.0,5.0,Italian,1,1.0,1,2,1,3,4,3,5,2,5,7,1.0,4.0,1,1.0,1,3,3.0,4.0,1.0,nan,3,940.0,345,2,2,900,165
3.3,2,1,610,3.0,980.0,2,7.0,5.0,7,1.0,2,2.0,1,3,4,2.0,4,1.0,5.0,Mexican,2,3.0,1,2,2,2,5,1,6,1,4,2,1.0,4.0,2,1.0,1,2,1.0,6.0,1.0,1.0,1,1165.0,850,3,2,1315,175
3.87,2,1,610,3.0,315.0,1,2.0,3.0,2,3.0,2,nan,1,8,1,2.0,3,1.0,4.0,Indian,8,2.0,1,3,4,5,8,7,6,5,5,7,2.0,2.0,4,1.0,3,5,5.0,2.0,2.0,1.0,5,725.0,500,2,2,900,195
3.7,2,1,610,3.0,420.0,1,3.0,5.0,3,2.0,1,1.0,1,3,1,2.0,3,1.0,4.0,italian ,1,1.0,2,4,1,4,2,2,6,5,5,5,1.0,4.0,3,1.0,3,5,2.0,2.0,1.0,1.0,4,940.0,850,3,1,1315,185
3.7,2,2,610,3.0,420.0,2,1.0,4.0,1,1.0,1,1.0,1,7,2,2.0,5,3.0,4.0,Asian ,4,1.0,1,3,3,2,4,1,4,4,5,5,1.0,2.0,2,1.0,2,3,2.0,3.0,1.0,1.0,4,940.0,690,4,1,1315,185
3.9,1,1,720,2.0,420.0,2,6.0,1.0,6,1.0,1,2.0,1,2,4,3.0,4,nan,3.0,Chinese,4,1.0,1,4,3,5,5,2,4,3,5,2,2.0,2.0,2,1.0,1,3,3.0,4.0,2.0,2.0,4,940.0,500,4,2,1315,105
2.8,1,2,720,3.0,420.0,2,2.0,3.0,2,1.0,1,1.0,3,4,2,3.0,2,1.0,4.0,don't have one,0,3.0,1,4,1,3,8,2,6,3,3,5,1.0,3.0,4,1.0,1,3,3.0,3.0,1.0,1.0,3,1165.0,690,3,2,760,125
3.7,2,1,610,2.0,420.0,1,2.0,3.0,2,1.0,1,1.0,1,3,2,2.0,2,1.0,4.0,Italian food ,1,1.0,1,3,2,1,9,5,5,1,5,9,2.0,2.0,2,1.0,1,4,1.0,2.0,2.0,1.0,2,1165.0,850,3,2,1315,160
3.0,2,1,610,4.0,980.0,2,2.0,4.0,2,1.0,1,2.0,2,5,2,3.0,3,1.0,5.0,Mexican ,2,1.0,1,5,1,3,9,6,6,3,4,9,2.0,5.0,4,1.0,1,6,2.0,2.0,1.0,1.0,3,1165.0,500,5,1,1315,175
3.2,2,1,610,2.0,420.0,2,2.0,2.0,2,2.0,2,1.0,1,3,2,2.0,2,2.0,4.0,Italian/German,1,1.0,1,3,3,1,4,7,5,1,5,3,1.0,4.0,5,1.0,1,3,2.0,3.0,1.0,2.0,1,940.0,500,2,1,1315,180
3.5,2,1,265,2.0,420.0,2,2.0,3.0,2,nan,2,2.0,1,3,5,3.0,5,2.0,5.0,Indian food - samosas are amazing,8,1.0,1,5,3,3,9,7,5,5,5,10,1.0,5.0,2,1.0,1,4,5.0,2.0,1.0,2.0,5,580.0,500,4,1,760,167
4.0,1,1,720,3.0,420.0,2,1.0,3.0,1,1.0,1,1.0,1,7,3,2.0,4,2.0,2.0,mexican,2,2.0,1,3,4,2,7,2,5,3,4,8,2.0,5.0,4,3.0,3,3,2.0,3.0,2.0,1.0,3,940.0,500,5,1,1315,115
4.0,2,1,610,3.0,420.0,2,1.0,2.0,1,1.0,2,2.0,3,4,2,3.0,5,2.0,4.0,italian,1,1.0,1,5,2,5,5,1,4,4,5,3,1.0,2.0,4,4.0,1,3,3.0,4.0,2.0,2.0,4,940.0,690,5,1,1315,205
3.4,2,1,610,3.0,315.0,2,4.0,5.0,4,nan,2,2.0,1,3,3,2.0,5,nan,5.0,Spanish,2,nan,1,4,4,5,5,7,5,5,5,8,1.0,5.0,4,1.0,3,4,5.0,4.0,1.0,1.0,5,580.0,345,5,1,760,nan
2.8,1,1,720,3.0,420.0,1,2.0,4.0,2,2.0,2,1.0,1,3,2,3.0,4,3.0,4.0,Italian ,1,1.0,1,3,1,5,7,2,3,2,5,3,1.0,nan,4,1.0,1,3,2.0,3.0,1.0,2.0,1,1165.0,500,3,1,900,128
3.65,1,1,610,3.0,420.0,2,2.0,4.0,2,1.0,2,1.0,1,3,3,3.0,2,1.0,4.0,French,1,3.0,1,5,1,3,1,7,6,1,5,3,1.0,4.0,4,1.0,5,4,1.0,2.0,1.0,1.0,3,940.0,345,4,1,1315,150
3.0,1,1,610,2.0,420.0,2,2.0,1.0,2,1.0,3,1.0,1,3,2,3.0,2,1.0,4.0,American or Italian,5,1.0,1,5,3,3,2,6,4,1,5,3,2.0,4.0,2,2.0,1,3,2.0,2.0,1.0,1.0,2,940.0,690,5,2,760,150
3.7,1,1,610,3.0,420.0,2,2.0,3.0,2,nan,2,2.0,1,8,4,2.0,4,1.0,5.0,Italian or Chinese ,1,3.0,1,5,2,3,7,5,6,2,5,7,1.0,2.0,3,1.0,2,3,1.0,4.0,2.0,1.0,2,1165.0,500,5,2,900,150
3.4,1,1,720,4.0,420.0,2,1.0,2.0,1,6.0,2,2.0,1,3,2,2.0,4,3.0,2.0,Italian,1,1.0,1,3,4,5,4,2,6,3,5,2,2.0,3.0,4,1.0,1,4,3.0,4.0,1.0,1.0,5,940.0,500,4,2,1315,170
3.89,1,1,610,3.0,980.0,2,2.0,3.0,2,1.0,1,1.0,1,2,2,3.0,4,2.0,4.0,italian,1,1.0,1,4,4,3,6,2,5,3,5,8,2.0,4.0,4,1.0,1,3,3.0,4.0,1.0,1.0,2,1165.0,690,3,2,1315,150
3.0,2,1,720,nan,980.0,2,9.0,5.0,9,1.0,2,2.0,1,2,5,3.0,3,1.0,5.0,Mexican ,2,1.0,1,5,4,1,3,2,6,3,4,5,2.0,2.0,1,2.0,3,3,1.0,1.0,1.0,1.0,3,1165.0,690,3,2,1315,175
3.4,2,1,430,3.0,315.0,1,3.0,3.0,3,1.0,3,2.0,1,9,2,3.0,4,1.0,4.0,Italian ,1,1.0,1,3,1,5,10,2,6,3,5,8,1.0,4.0,3,1.0,1,3,3.0,2.0,1.0,1.0,3,940.0,500,4,2,760,140
2.9,1,1,720,4.0,980.0,2,5.0,2.0,5,1.0,4,1.0,1,3,4,2.0,4,1.0,2.0,Italian ,1,1.0,1,5,2,5,6,3,3,3,5,4,1.0,3.0,4,1.0,1,3,2.0,6.0,1.0,2.0,4,940.0,690,5,1,1315,120
3.6,1,1,610,3.0,420.0,2,2.0,4.0,2,1.0,2,2.0,1,3,2,2.0,3,nan,4.0,Italian,1,1.0,1,5,2,5,6,1,6,4,5,7,1.0,4.0,1,1.0,2,3,2.0,3.0,1.0,2.0,4,940.0,500,4,2,900,135
3.5,1,1,430,2.0,980.0,1,3.0,3.0,3,1.0,2,1.0,2,5,1,nan,5,nan,2.0,chinese,4,3.0,1,4,3,5,6,2,3,5,5,8,2.0,2.0,3,nan,1,2,5.0,nan,2.0,2.0,5,940.0,345,4,1,900,100
3.2,1,1,610,4.0,420.0,2,1.0,1.0,1,1.0,1,1.0,2,4,2,2.0,5,1.0,4.0,Thai food,4,1.0,1,5,4,5,8,7,5,5,5,10,1.0,2.0,4,2.0,1,6,5.0,3.0,1.0,1.0,5,725.0,500,5,1,760,170
3.605,1,1,610,3.0,315.0,2,4.0,3.0,4,1.0,1,1.0,2,5,2,2.0,5,nan,4.0,Greek,1,1.0,1,5,2,5,3,6,6,5,5,3,2.0,4.0,2,1.0,2,4,5.0,1.0,1.0,2.0,5,940.0,500,5,2,900,113
3.8,2,1,430,2.0,420.0,1,3.0,3.0,3,1.0,2,2.0,1,2,2,2.0,4,2.0,3.0,Italian ,1,1.0,1,4,1,4,4,5,4,3,5,4,1.0,4.0,3,1.0,2,3,3.0,3.0,1.0,1.0,3,725.0,345,4,2,900,168
2.8,2,1,430,nan,980.0,2,2.0,4.0,2,1.0,2,1.0,1,3,2,nan,3,1.0,5.0,Italian ,1,3.0,1,5,1,3,8,7,6,2,4,9,1.0,5.0,2,1.0,1,3,4.0,2.0,1.0,1.0,1,940.0,345,5,2,900,145
3.5,2,2,430,nan,315.0,1,1.0,4.0,1,1.0,2,2.0,1,3,2,3.0,4,1.0,4.0,Asian ,4,1.0,1,5,2,4,2,7,5,4,5,3,1.0,4.0,3,1.0,1,3,4.0,1.0,2.0,1.0,4,940.0,345,5,1,760,155
3.83,2,1,430,3.0,315.0,2,5.0,3.0,5,2.0,2,1.0,1,3,2,nan,3,2.0,2.0,Italian ,1,1.0,1,3,3,4,9,2,3,4,5,9,2.0,4.0,2,1.0,2,6,nan,1.0,2.0,2.0,4,1165.0,690,3,2,900,150
3.6,2,1,720,3.0,420.0,2,1.0,5.0,1,1.0,1,1.0,2,5,2,3.0,2,1.0,3.0,American,5,2.0,1,4,3,1,8,4,1,1,3,8,1.0,2.0,5,3.0,1,3,1.0,3.0,1.0,2.0,1,1165.0,500,5,2,760,169
3.3,2,1,610,4.0,980.0,1,5.0,3.0,5,1.0,4,1.0,1,3,3,3.0,5,1.0,2.0,All ,0,1.0,1,5,2,5,8,5,6,5,5,8,1.0,2.0,5,1.0,1,3,5.0,2.0,1.0,1.0,5,1165.0,500,4,1,1315,185
3.3,2,1,610,4.0,420.0,2,2.0,1.0,2,1.0,3,1.0,1,3,5,nan,4,1.0,3.0,Mexican ,2,1.0,1,5,2,5,1,3,5,3,5,5,1.0,2.0,5,1.0,1,3,3.0,2.0,2.0,1.0,3,1165.0,500,5,2,900,200
3.292,2,1,610,nan,980.0,2,2.0,4.0,2,1.0,4,2.0,3,4,3,nan,3,nan,2.0,Sub sandwhiches,5,3.0,1,4,4,4,5,3,3,2,5,1,1.0,5.0,1,3.0,1,3,3.0,4.0,1.0,2.0,1,940.0,500,4,1,1315,265
3.5,2,1,610,3.0,420.0,2,1.0,1.0,1,2.0,1,1.0,2,5,3,3.0,5,1.0,4.0,Italian,1,1.0,2,5,2,5,10,7,6,4,5,10,1.0,5.0,4,1.0,1,6,2.0,2.0,1.0,1.0,4,940.0,690,5,1,900,165
3.35,1,2,610,2.0,315.0,2,2.0,3.0,2,nan,2,2.0,4,10,5,3.0,3,1.0,1.0,italian,1,1.0,1,4,1,3,8,5,3,2,5,8,1.0,3.0,3,1.0,2,2,2.0,3.0,1.0,1.0,3,940.0,500,4,2,900,192
3.8,2,1,720,4.0,315.0,2,2.0,3.0,2,1.0,1,1.0,2,5,4,3.0,5,1.0,4.0,Thai,4,1.0,1,5,4,4,1,2,6,5,5,1,1.0,4.0,4,2.0,1,4,4.0,2.0,1.0,1.0,5,1165.0,500,5,1,1315,175
2.8,1,1,610,4.0,980.0,2,9.0,2.0,9,1.0,1,1.0,2,5,3,2.0,2,1.0,2.0,Wraps ,5,3.0,2,4,2,5,9,2,5,2,5,10,1.0,4.0,5,1.0,1,3,1.0,2.0,2.0,1.0,2,725.0,345,4,1,1315,140
3.5,1,1,610,3.0,420.0,2,1.0,1.0,1,2.0,3,2.0,1,11,2,2.0,5,2.0,4.0,Mexican,2,1.0,2,5,3,5,4,6,5,5,5,1,1.0,5.0,2,2.0,1,4,4.0,3.0,1.0,1.0,5,1165.0,690,5,1,1315,155
