GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food_reasons_coded,cook,comfort_food_reasons_coded.1,cuisine,diet_current_coded,drink,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,fav_cuisine,fav_cuisine_coded,fav_food,fries,fruit_day,grade_level,greek_food,healthy_feeling,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,mother_education,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,veggies_day,vitamins,waffle_calories,weight
3.7,1,1,610,nan,420.0,2,2.0,2.0,2,1.0,3,2.0,1,11,2,3.0,5,nan,4.0,Italian ,1,3.0,1,5,4,5,7,1,6,5,5,10,1.0,4.0,2,2.0,2,3,4.0,3.0,2.0,1.0,5,1165.0,500,4,2,1315,155
3.6,1,1,610,4.0,420.0,2,3.0,2.0,3,1.0,1,2.0,3,4,5,3.0,5,1.0,4.0,Mexican ,2,1.0,1,5,1,4,3,6,6,1,5,5,1.0,4.0,4,1.0,1,3,1.0,2.0,1.0,1.0,1,1165.0,690,5,1,1315,135
3.9,2,1,610,4.0,980.0,2,2.0,3.0,2,1.0,1,1.0,2,5,5,2.0,2,1.0,2.0,Italian,1,1.0,1,4,4,3,2,7,6,2,5,1,1.0,2.0,4,1.0,2,3,2.0,2.0,1.0,1.0,2,1165.0,850,4,1,1315,210
2.6,1,1,610,4.0,980.0,2,3.0,3.0,3,2.0,1,nan,3,4,4,3.0,5,1.0,4.0,Italian ,1,1.0,1,5,3,4,8,6,5,4,4,8,2.0,4.0,4,1.0,1,3,4.0,2.0,nan,1.0,4,1165.0,690,5,2,1315,180
3.5,1,1,610,3.0,420.0,1,2.0,1.0,2,1.0,1,1.0,1,3,3,2.0,4,1.0,2.0,Chinese cuisine (General Tso's),4,3.0,1,5,2,4,3,5,2,3,5,1,2.0,2.0,4,1.0,1,2,3.0,4.0,2.0,1.0,3,940.0,500,5,1,760,140
3.2,1,1,610,nan,315.0,2,2.0,2.0,2,2.0,2,1.0,1,11,3,3.0,3,2.0,5.0,Italian,1,3.0,1,3,2,3,3,6,6,1,5,3,2.0,nan,1,1.0,2,5,1.0,2.0,1.0,2.0,4,725.0,500,3,2,900,112
3.0,1,1,720,3.0,420.0,1,3.0,2.0,3,1.0,1,2.0,1,3,2,3.0,3,nan,2.0,American ,5,1.0,1,5,1,4,3,5,4,3,5,3,2.0,4.0,4,1.0,1,3,3.0,2.0,1.0,1.0,3,940.0,500,5,1,900,125
3.6,1,1,610,2.0,420.0,1,2.0,4.0,2,1.0,2,2.0,1,3,3,2.0,5,2.0,2.0,Italian ,1,1.0,1,5,2,2,2,7,5,2,4,2,2.0,3.0,2,1.0,2,4,1.0,2.0,1.0,1.0,2,940.0,690,5,2,1315,144 lbs
3.2,1,1,430,3.0,315.0,1,1.0,3.0,1,1.0,1,2.0,1,3,1,3.0,4,1.0,5.0,Italian ,1,1.0,1,5,1,3,8,3,6,2,5,8,2.0,5.0,3,1.0,1,4,2.0,3.0,1.0,1.0,4,725.0,500,5,2,760,145
3.67,1,2,720,4.0,420.0,2,2.0,2.0,2,nan,2,2.0,1,3,2,3.0,2,2.0,4.0,Italian,1,1.0,1,3,3,1,3,4,6,1,5,3,2.0,4.0,4,2.0,1,3,1.0,3.0,2.0,2.0,5,1165.0,690,5,1,1315,130
3.73,1,1,610,3.0,980.0,2,2.0,3.0,2,1.0,1,1.0,1,8,1,2.0,5,2.0,4.0,Italian,1,1.0,2,5,3,5,3,1,3,5,5,2,2.0,2.0,2,1.0,1,3,5.0,3.0,1.0,1.0,5,1165.0,500,5,1,1315,140
4.0,1,1,720,nan,420.0,2,2.0,2.0,2,1.0,1,1.0,1,11,1,2.0,5,1.0,2.0,Italian ,1,1.0,2,5,3,3,5,3,5,4,5,2,2.0,4.0,4,1.0,1,6,3.0,4.0,1.0,1.0,4,1165.0,690,5,1,1315,140
3.1,2,2,610,3.0,980.0,2,2.0,3.0,2,1.0,2,2.0,1,3,1,2.0,4,2.0,nan,Lean,0,2.0,1,5,1,2,3,7,5,3,5,2,1.0,4.0,2,1.0,1,2,2.0,3.0,1.0,2.0,3,1165.0,345,5,1,1315,140
3.79,2,1,720,4.0,420.0,2,2.0,1.0,2,1.0,2,2.0,2,12,4,3.0,3,1.0,4.0,Mexican,2,1.0,1,3,2,3,1,3,6,1,5,2,2.0,2.0,5,3.0,1,3,1.0,3.0,1.0,1.0,2,1165.0,850,4,1,1315,200
2.71,2,2,265,2.0,420.0,1,9.0,2.0,9,4.0,4,2.0,3,4,1,3.0,3,2.0,1.0,nan,0,2.0,1,4,3,3,8,8,3,3,3,10,4.0,1.0,2,2.0,3,5,3.0,3.0,1.0,2.0,3,580.0,345,4,2,760,nan
3.0,1,1,610,3.0,420.0,2,3.0,3.0,3,1.0,1,1.0,1,3,2,2.0,5,1.0,4.0,italian ,1,1.0,1,5,1,3,6,2,5,4,5,9,2.0,4.0,4,1.0,2,4,3.0,3.0,1.0,2.0,4,940.0,500,4,1,900,120
3.7,1,2,610,3.0,420.0,1,2.0,2.0,2,1.0,2,2.0,1,3,2,2.0,2,2.0,2.0,american ,5,3.0,1,4,4,2,4,3,3,1,5,4,1.0,5.0,3,2.0,1,3,1.0,4.0,2.0,1.0,1,1165.0,690,2,2,1315,150
3.1,2,2,265,2.0,420.0,1,2.0,2.0,2,1.0,2,2.0,2,13,2,2.0,1,2.0,2.0,American ,5,2.0,1,3,4,1,4,7,3,1,4,5,2.0,5.0,1,1.0,1,3,1.0,3.0,2.0,1.0,2,725.0,345,2,2,900,200
3.0,1,1,720,3.0,420.0,2,1.0,2.0,1,1.0,3,1.0,1,2,2,2.0,3,1.0,2.0,Japanese,4,1.0,2,5,2,4,8,3,5,3,4,8,2.0,2.0,4,1.0,1,3,2.0,3.0,1.0,1.0,3,580.0,345,4,1,1315,135
3.9,2,1,720,3.0,420.0,2,2.0,5.0,2,1.0,2,2.0,1,7,1,3.0,5,1.0,3.0,Chinese,4,1.0,1,5,1,5,1,8,6,4,5,3,1.0,2.0,4,1.0,1,3,4.0,2.0,1.0,1.0,5,1165.0,850,4,2,1315,145
3.4,1,1,430,2.0,420.0,2,7.0,3.0,7,1.0,2,2.0,1,3,3,2.0,4,2.0,2.0,Italian,1,3.0,1,3,1,3,4,2,4,3,5,1,1.0,4.0,2,1.0,1,3,3.0,3.0,1.0,2.0,4,1165.0,500,2,1,900,130
3.5,1,2,610,3.0,420.0,1,2.0,3.0,2,1.0,2,2.0,1,3,3,3.0,4,1.0,4.0,Italian,1,1.0,1,4,4,4,2,3,4,4,5,2,2.0,4.0,2,1.0,3,5,4.0,4.0,2.0,1.0,4,725.0,500,2,2,900,190
3.7,1,1,265,nan,315.0,2,2.0,nan,2,1.0,4,2.0,1,3,5,3.0,4,1.0,4.0,Italian,1,1.0,1,3,3,3,8,2,3,3,5,7,1.0,4.0,3,1.0,2,3,3.0,3.0,1.0,1.0,3,580.0,345,3,2,575,170
3.7,1,1,430,3.0,420.0,2,2.0,2.0,2,1.0,2,1.0,1,2,2,nan,5,nan,2.0,Any type of Colombian cuisine,2,1.0,1,4,1,5,4,5,1,5,5,1,nan,1.0,3,1.0,2,2,5.0,3.0,1.0,1.0,5,940.0,690,4,2,1315,127
3.83,1,1,720,3.0,420.0,2,3.0,1.0,3,1.0,1,2.0,2,5,2,3.0,5,1.0,4.0,Mexican cuisine,2,3.0,1,5,2,5,9,5,5,5,5,9,2.0,3.0,5,1.0,1,3,4.0,2.0,1.0,1.0,5,725.0,690,5,1,760,167
2.6,1,1,265,3.0,315.0,2,1.0,3.0,1,1.0,3,2.0,1,2,3,2.0,3,3.0,5.0,Asian,4,3.0,1,5,1,4,7,5,6,2,5,7,2.0,3.0,3,1.0,2,3,3.0,3.0,1.0,2.0,3,580.0,500,4,1,760,140
3.0,1,1,610,3.0,420.0,2,2.0,2.0,2,1.0,1,2.0,2,5,1,3.0,4,2.0,2.0,Chinese food,4,3.0,1,5,1,4,3,5,6,4,5,1,1.0,4.0,5,1.0,1,3,3.0,4.0,1.0,1.0,4,580.0,500,4,1,900,190
3.2,2,1,720,3.0,420.0,1,3.0,4.0,3,1.0,2,2.0,1,3,2,2.0,3,1.0,4.0,mac and cheese,5,2.0,1,4,2,1,5,2,6,1,5,4,1.0,5.0,2,1.0,1,3,1.0,4.0,1.0,1.0,1,1165.0,690,4,1,1315,155
3.5,2,2,720,4.0,980.0,2,9.0,nan,9,1.0,2,2.0,2,5,1,2.0,5,1.0,2.0,Mexican,2,1.0,1,4,3,5,7,6,2,5,5,1,1.0,nan,5,1.0,1,4,5.0,2.0,1.0,2.0,5,1165.0,850,4,1,1315,175
3.2,1,1,610,3.0,420.0,2,1.0,3.0,1,nan,2,1.0,2,5,2,2.0,5,1.0,4.0,Authentic Chinese and Vietnamese food ,4,1.0,2,5,3,4,7,2,3,5,5,1,1.0,2.0,5,1.0,2,3,4.0,3.0,1.0,2.0,5,1165.0,500,5,1,900,129
3.68,2,1,720,4.0,420.0,2,2.0,4.0,2,nan,1,2.0,2,5,2,3.0,3,1.0,2.0,italian and chinese,1,1.0,1,5,1,4,7,4,6,3,5,8,1.0,3.0,2,1.0,1,4,3.0,4.0,2.0,1.0,3,1165.0,850,4,1,1315,260
3.8,1,2,610,2.0,420.0,2,2.0,2.0,2,1.0,2,2.0,1,3,3,2.0,2,2.0,5.0,American,5,3.0,1,2,3,1,5,2,6,1,4,2,2.0,5.0,3,2.0,3,3,1.0,3.0,1.0,2.0,1,725.0,500,1,2,900,135
3.3,2,2,720,nan,420.0,2,1.0,2.0,1,1.0,2,2.0,2,5,5,2.0,1,3.0,2.0,Barbecue ,5,1.0,1,1,3,1,8,3,3,1,5,1,2.0,3.0,2,1.0,1,3,1.0,4.0,1.0,1.0,1,1165.0,690,4,2,900,190
3.2,2,1,720,nan,420.0,2,2.0,4.0,2,1.0,2,2.0,1,2,2,3.0,5,3.0,5.0,Italian,1,1.0,1,4,1,4,6,2,4,5,5,6,1.0,4.0,1,1.0,1,4,5.0,3.0,1.0,2.0,5,1165.0,690,5,2,1315,165
3.75,2,1,610,3.0,420.0,2,5.0,2.0,5,nan,1,2.0,1,3,2,nan,5,1.0,4.0,lebanese or greek,1,1.0,1,5,4,5,7,7,6,5,5,6,2.0,4.0,4,1.0,1,3,5.0,3.0,1.0,1.0,5,940.0,690,5,1,1315,175
3.5,2,1,265,nan,420.0,2,2.0,3.0,2,1.0,2,2.0,1,2,2,3.0,4,1.0,4.0,American,5,3.0,1,4,3,4,10,6,5,3,5,10,2.0,4.0,3,1.0,1,3,3.0,2.0,2.0,1.0,4,1165.0,690,4,2,1315,184
3.92,2,1,430,3.0,420.0,2,7.0,2.0,7,2.0,2,2.0,2,5,2,2.0,4,2.0,2.0,Italian,1,3.0,1,3,1,3,2,2,6,3,5,8,1.0,5.0,2,1.0,2,3,3.0,6.0,1.0,2.0,3,725.0,500,2,1,900,210
3.9,1,1,720,3.0,420.0,2,2.0,3.0,2,1.0,1,2.0,2,5,2,2.0,3,1.0,5.0,Italian,1,1.0,1,5,2,2,1,2,5,2,5,1,1.0,3.0,4,1.0,1,5,1.0,3.0,1.0,1.0,3,1165.0,500,5,2,760,155
3.9,2,1,720,3.0,315.0,1,3.0,4.0,3,6.0,2,2.0,2,5,5,3.0,5,2.0,4.0,Italian,1,nan,1,5,4,5,8,3,6,5,5,1,2.0,2.0,3,4.0,3,6,1.0,4.0,1.0,1.0,5,1165.0,690,4,1,1315,185
3.2,1,1,430,4.0,420.0,1,3.0,4.0,3,2.0,2,1.0,2,5,3,2.0,3,nan,3.0,italian,1,1.0,1,5,1,3,3,4,4,1,5,2,2.0,4.0,2,1.0,1,3,1.0,3.0,1.0,1.0,1,1165.0,690,5,1,900,165
3.5,1,1,610,3.0,nan,2,3.0,3.0,3,1.0,1,1.0,1,3,2,2.0,5,2.0,2.0,Italian ,1,1.0,1,5,1,5,2,4,2,5,5,1,2.0,2.0,2,1.0,1,2,5.0,2.0,1.0,1.0,5,nan,500,5,2,900,125
3.4,1,1,610,nan,420.0,2,2.0,3.0,2,1.0,2,2.0,1,11,2,2.0,5,3.0,4.0,sushi,4,3.0,1,5,1,5,3,2,5,4,5,3,1.0,4.0,4,1.0,1,2,4.0,5.0,1.0,2.0,3,1165.0,500,5,2,1315,160
3.7,1,1,610,3.0,420.0,2,8.0,2.0,5,1.0,1,1.0,1,3,2,2.0,5,2.0,4.0,Indian food,8,1.0,1,5,3,3,4,2,4,5,5,8,1.0,4.0,4,1.0,2,3,3.0,6.0,1.0,2.0,3,725.0,345,5,1,760,130
3.0,1,1,720,3.0,420.0,2,2.0,3.0,2,1.0,2,2.0,1,10,3,nan,4,2.0,4.0,Italian,1,3.0,1,3,4,5,2,5,4,3,5,1,2.0,3.0,2,2.0,1,5,4.0,3.0,2.0,1.0,3,1165.0,690,2,2,1315,125
3.0,1,1,430,3.0,315.0,2,nan,2.0,1,nan,1,1.0,2,12,5,nan,5,2.0,5.0,Nepali,4,1.0,1,5,1,5,7,1,1,5,5,6,1.0,4.0,4,1.0,1,3,4.0,4.0,1.0,2.0,4,580.0,500,5,2,760,130
3.8,1,1,430,3.0,420.0,1,nan,2.0,1,1.0,1,1.0,1,2,2,2.0,4,1.0,3.0,I really love italian food and thai food,1,3.0,1,4,2,3,5,2,4,3,5,4,1.0,3.0,2,1.0,1,3,2.0,4.0,1.0,2.0,5,1165.0,690,4,2,900,165
3.8,1,1,430,2.0,420.0,2,nan,5.0,1,1.0,1,2.0,1,2,2,3.0,2,1.0,4.0,Italian,1,2.0,1,5,2,2,6,1,6,5,5,5,2.0,3.0,4,1.0,2,3,2.0,3.0,1.0,1.0,2,580.0,345,5,2,760,128
3.4,1,1,610,3.0,420.0,2,nan,2.0,1,1.0,2,2.0,2,5,3,2.0,2,3.0,5.0,Italian ,1,2.0,1,4,2,2,5,2,6,1,5,1,1.0,5.0,4,1.0,2,3,1.0,5.0,1.0,2.0,2,940.0,690,3,1,1315,200
3.7,1,1,610,3.0,315.0,1,nan,3.0,3,2.0,2,1.0,1,3,4,3.0,3,2.0,4.0,Italian,1,1.0,1,3,4,4,8,2,3,3,5,9,2.0,4.0,3,2.0,2,4,4.0,3.0,1.0,1.0,3,580.0,690,3,2,900,160
2.9,2,1,265,2.0,980.0,2,nan,2.0,2,nan,1,2.0,2,5,2,2.0,3,2.0,2.0,nan,0,1.0,1,3,3,5,9,2,5,1,3,7,1.0,2.0,4,3.0,1,6,1.0,3.0,1.0,2.0,1,725.0,345,3,2,1315,170
3.9,1,1,610,4.0,315.0,2,nan,1.0,3,1.0,1,1.0,2,5,4,3.0,5,1.0,5.0,Italian ,1,3.0,1,5,4,5,10,4,6,5,5,9,2.0,5.0,4,1.0,2,3,5.0,3.0,1.0,2.0,5,725.0,500,3,2,900,129
3.6,1,1,430,2.0,420.0,1,nan,2.0,2,1.0,2,2.0,1,2,3,2.0,3,2.0,4.0,Italian ,1,1.0,1,4,4,3,9,7,6,2,5,1,2.0,4.0,4,1.0,2,3,3.0,4.0,1.0,2.0,2,1165.0,690,2,2,900,170
2.8,2,1,610,3.0,315.0,2,nan,3.0,3,4.0,2,2.0,1,10,3,3.0,4,2.0,5.0,Korean,4,3.0,1,4,2,3,7,2,3,5,4,7,2.0,5.0,3,1.0,1,5,3.0,1.0,1.0,1.0,5,940.0,850,3,2,760,138
3.3,2,1,610,4.0,980.0,2,nan,4.0,1,1.0,2,2.0,1,3,2,2.0,2,1.0,5.0,I do not like cuisine,0,3.0,1,5,1,1,10,3,6,1,4,10,2.0,5.0,1,1.0,1,5,2.0,2.0,1.0,1.0,1,1165.0,690,2,2,1315,150
3.4,1,1,610,nan,420.0,2,nan,3.0,2,nan,2,1.0,1,3,4,3.0,4,2.0,3.0,Chinese ,4,2.0,1,5,1,1,5,5,1,3,5,2,1.0,3.0,2,1.0,2,3,1.0,4.0,1.0,2.0,5,725.0,345,5,1,1315,170
3.77,1,1,610,nan,315.0,2,nan,3.0,5,4.0,1,1.0,2,5,2,2.0,4,nan,2.0,Vietnamese cuisine,4,3.0,1,3,2,2,9,2,2,2,4,7,1.0,2.0,2,1.0,1,2,2.0,4.0,1.0,2.0,5,725.0,690,3,1,760,113
3.63,1,1,430,3.0,420.0,1,nan,3.0,1,1.0,2,1.0,2,5,2,2.0,4,2.0,2.0,American ,5,1.0,1,5,2,3,5,5,3,3,5,8,2.0,2.0,2,3.0,3,4,2.0,4.0,1.0,2.0,4,940.0,345,5,2,1315,140
3.2,2,1,610,3.0,420.0,2,nan,2.0,7,5.0,2,1.0,2,5,2,2.0,5,2.0,5.0,Indian,8,3.0,1,5,4,5,7,3,2,5,5,6,2.0,5.0,2,1.0,1,3,5.0,4.0,1.0,1.0,5,1165.0,690,5,2,1315,185
3.5,1,1,610,4.0,420.0,2,nan,3.0,2,1.0,2,2.0,1,3,2,1.0,4,2.0,4.0,Italian ,1,1.0,1,5,4,5,5,6,4,3,5,7,1.0,3.0,5,3.0,1,4,3.0,4.0,1.0,1.0,5,940.0,500,5,1,1315,156
3.0,1,1,265,2.0,315.0,2,nan,3.0,3,nan,2,1.0,1,3,4,3.0,3,2.0,5.0,Mexican Food,2,1.0,1,4,4,1,5,5,2,5,5,7,1.0,2.0,3,1.0,3,4,1.0,4.0,1.0,nan,4,940.0,500,5,2,1315,180
3.8819999999999997,1,1,720,nan,420.0,1,nan,3.0,3,nan,2,1.0,1,3,3,3.0,5,2.0,5.0,Korean,4,1.0,1,4,3,5,6,2,2,5,3,10,1.0,1.0,3,1.0,2,4,5.0,4.0,1.0,2.0,5,580.0,690,4,2,1315,120
3.0,2,1,720,4.0,420.0,1,nan,3.0,7,1.0,1,2.0,1,8,5,2.0,2,1.0,3.0,Italian,1,3.0,1,5,1,1,1,6,4,1,5,1,1.0,2.0,4,1.0,2,3,1.0,2.0,2.0,2.0,1,940.0,500,3,1,1315,135
3.9,1,1,430,nan,315.0,2,nan,nan,5,3.0,1,1.0,2,5,1,2.0,3,2.0,4.0,HISPANIC CUISINE.,2,1.0,1,3,3,2,3,3,5,2,3,5,2.0,3.0,5,1.0,3,3,2.0,3.0,1.0,2.0,2,725.0,345,4,2,575,135
